TransferSyntax||||||Little Endian Implicit
Unknown Tag & Data|2005|fb3e|??|1|408|00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00\00 
Unknown Tag & Data|2005|fb5f|??|1|  4|4f\44\52\20                              
Unknown Tag & Data|2005|fb60|??|1|  2|31\20                                    
Unknown Tag & Data|2005|fb61|??|1|  2|4e\4f                                    
Unknown Tag & Data|2005|fb63|??|1|  2|00\00                                    
Unknown Tag & Data|2005|fb6e|??|1|  2|53\45                                    
Unknown Tag & Data|2005|fb6f|??|1|  2|4d\53                                    
Unknown Tag & Data|2005|fb70|??|1|  0|(no value available)                     
Unknown Tag & Data|2005|fb80|??|1|442|fe\ff\00\e0\8c\00\00\00\05\20\fb\00\1a\00\00\00\50\48\49\4c\49\50\53\20\4d\52\20\49\4d\41\47\49\4e\47\20\44\44\20\30\30\31\20\05\20\3f\fb\04\00\00\00\01\00\00\00\05\20\40\fb\04\00\00\00\00\00\00\00\05\20\41\fb\04\00\00\00\01\00\00\00\05\20\42\fb\04\00\00\00\01\00\00\00\05\20\43\fb\02\00\00\00\4d\20\05\20\44\fb\04\00\00\00\01\00\00\00\05\20\45\fb\04\00\00\00\01\00\00\00\05\20\46\fb\04\00\00\00\46\46\45\20\05\20\47\fb\04\00\00\00\02\00\00\00\fe\ff\00\e0\8a\00\00\00\05\20\fb\00\1a\00\00\00\50\48\49\4c\49\50\53\20\4d\52\20\49\4d\41\47\49\4e\47\20\44\44\20\30\30\31\20\05\20\3f\fb\04\00\00\00\02\00\00\00\05\20\40\fb\04\00\00\00\00\00\00\00\05\20\41\fb\04\00\00\00\01\00\00\00\05\20\42\fb\04\00\00\00\01\00\00\00\05\20\43\fb\02\00\00\00\4d\20\05\20\44\fb\04\00\00\00\01\00\00\00\05\20\45\fb\04\00\00\00\01\00\00\00\05\20\46\fb\02\00\00\00\53\45\05\20\47\fb\04\00\00\00\01\00\00\00\fe\ff\00\e0\8c\00\00\00\05\20\fb\00\1a\00\00\00\50\48\49\4c\49\50\53\20\4d\52\20\49\4d\41\47\49\4e\47\20\44\44\20\30\30\31\20\05\20\3f\fb\04\00\00\00\03\00\00\00\05\20\40\fb\04\00\00\00\00\00\00\00\05\20\41\fb\04\00\00\00\01\00\00\00\05\20\42\fb\04\00\00\00\01\00\00\00\05\20\43\fb\02\00\00\00\4d\20\05\20\44\fb\04\00\00\00\01\00\00\00\05\20\45\fb\04\00\00\00\01\00\00\00\05\20\46\fb\04\00\00\00\46\46\45\20\05\20\47\fb\04\00\00\00\13\00\00\00 
Unknown Tag & Data|2005|fb84|??|1|166|fe\ff\00\e0\9e\00\00\00\05\20\fb\00\1a\00\00\00\50\48\49\4c\49\50\53\20\4d\52\20\49\4d\41\47\49\4e\47\20\44\44\20\30\30\31\20\05\20\48\fb\02\00\00\00\36\20\05\20\49\fb\02\00\00\00\30\20\05\20\4a\fb\02\00\00\00\31\20\05\20\4b\fb\02\00\00\00\31\20\05\20\4c\fb\06\00\00\00\53\45\52\49\45\53\05\20\4d\fb\00\00\00\00\05\20\64\fb\02\00\00\00\31\20\05\20\65\fb\02\00\00\00\31\20\05\20\66\fb\00\00\00\00\05\20\67\fb\02\00\00\00\32\30\05\20\68\fb\10\00\00\00\45\4e\48\41\4e\43\45\4d\45\4e\54\5f\46\52\4f\20 
Unknown Tag & Data|2005|fb86|??|1|  2|00\00                                    
Unknown Tag & Data|2005|fb9f|??|1|  0|(no value available)                     
Unknown Tag & Data|2005|fba0|??|1|  4|00\00\00\00                              
Unknown Tag & Data|2005|fba1|??|1|  0|(no value available)                     
Unknown Tag & Data|2005|fba2|??|1|  2|30\20                                    
PixelData|7fe0|0010|OW|1|131072|(not loaded)                             
